sid,temperature,humidity,is_fire,sensed_datetime
1,27.0,41.0,NO,2020-08-28 10:57:58
2,27.0,40.0,NO,2020-08-28 10:58:00
3,27.0,40.0,NO,2020-08-28 11:03:56
4,27.0,40.0,NO,2020-08-28 11:03:58
5,27.0,40.0,NO,2020-08-28 11:04:00
79,25.0,35.0,NO,2020-08-28 20:07:41
78,25.0,35.0,NO,2020-08-28 20:07:39
77,25.0,35.0,NO,2020-08-28 20:07:27
71,25.0,43.0,NO,2020-08-28 16:51:00
18,27.0,60.0,NO,2020-08-28 11:04:26
19,27.0,56.0,NO,2020-08-28 11:04:28
20,27.0,53.0,NO,2020-08-28 11:04:30
21,27.0,41.0,NO,2020-08-28 11:28:44
22,27.0,41.0,NO,2020-08-28 11:28:46
23,28.0,41.0,NO,2020-08-28 11:55:20
76,25.0,35.0,NO,2020-08-28 20:07:24
75,25.0,35.0,NO,2020-08-28 20:07:22
74,26.0,40.0,NO,2020-08-28 17:54:07
67,25.0,44.0,NO,2020-08-28 16:50:43
66,25.0,44.0,NO,2020-08-28 16:50:41
29,28.0,40.0,NO,2020-08-28 11:56:14
30,28.0,40.0,NO,2020-08-28 11:56:16
31,28.0,37.0,NO,2020-08-28 12:32:04
32,28.0,37.0,NO,2020-08-28 12:32:06
43,28.0,37.0,NO,2020-08-28 12:32:52
44,28.0,37.0,NO,2020-08-28 12:32:54
45,29.0,40.0,NO,2020-08-28 13:43:28
51,29.0,40.0,NO,2020-08-28 13:43:40
52,29.0,40.0,NO,2020-08-28 13:44:17
53,29.0,40.0,NO,2020-08-28 13:44:19
58,29.0,40.0,NO,2020-08-28 13:44:29
59,29.0,38.0,NO,2020-08-28 13:47:43
60,28.0,38.0,NO,2020-08-28 13:49:46
61,28.0,37.0,NO,2020-08-28 13:49:48
62,28.0,37.0,NO,2020-08-28 13:49:50
